mode,epoch,step,train/loss
train,1,1,0.3683008505215385
train,1,2,0.3332005158642265
train,1,3,0.4367636724433853
train,1,4,0.3154274983749421
train,1,5,0.4607916994544907
train,1,6,0.6138096797503603
train,1,7,0.36632525049110076
train,1,8,0.37114147740011694
train,1,9,0.3228457959987958
train,1,10,0.3553843075668722
train,1,11,0.32307540914661625
train,1,12,0.50349325845229
train,1,13,0.34918444521548225
train,1,14,0.38273059544249854
train,1,15,0.42517017178888766
train,1,16,0.40061255718563515
train,1,17,0.43691194076251383
train,1,18,0.3410118026246394
train,1,19,0.28629882319383093
train,1,20,0.3764530701316136
train,1,21,0.33711674949598475
train,1,22,0.33866334685856647
train,1,23,0.2638482824473552
train,1,24,0.45512276588410694
train,1,25,0.3219819721683802
train,1,26,0.31300988888040654
train,1,27,0.3742164744614327
train,1,28,0.2669016732661764
train,1,29,0.4130434212737477
train,1,30,0.4253098954122378
train,1,31,0.31912819815301297
train,1,32,0.32795685169486943
train,1,33,0.32696567751659156
train,1,34,0.3871705707685991
train,1,35,0.3825598124045522
train,1,36,0.32798947991435795
train,1,37,0.4071113183677046
train,1,38,0.39908548378392306
train,1,39,0.3265483919839847
train,1,40,0.33456354297585167
train,1,41,0.3332228693900472
train,1,42,0.3363326189851738
train,1,43,0.42580827357449547
train,1,44,0.3440038221933208
train,1,45,0.27623549988123697
train,1,46,0.3419881960887956
train,1,47,0.38268368400610064
train,1,48,0.3744183888694208
train,1,49,0.26227817719829793
train,1,50,0.3411577333214636
train,1,51,0.28511556330211807
train,1,52,0.37808072854619157
train,1,53,0.35738570014427073
train,1,54,0.3995273971393513
train,1,55,0.4038245121449725
train,1,56,0.43576923047526395
train,1,57,0.3304768020408021
train,1,58,0.5392821883500094
train,1,59,0.35126899285213803
train,1,60,0.40800413743955943
train,1,61,0.3231025327576882
train,1,62,0.4309245981844311
train,1,63,0.38352357437542073
train,1,64,0.43590768119876
train,1,65,0.32713134957118395
train,1,66,0.3363082855595389
train,1,67,0.36241532021486356
train,1,68,0.4068158133257913
train,1,69,0.38324631756991284
train,1,70,0.5156661147479518
train,1,71,0.27181376963471404
train,1,72,0.3079135250531929
train,1,73,0.37039496483579115
train,1,74,0.3949180242779977
train,1,75,0.42694402075864935
train,1,76,0.3797048324493679
train,1,77,0.36707457407180244
train,1,78,0.3887318170298192
train,1,79,0.3461007113603882
train,1,80,0.3007456453457367
train,1,81,0.2255847057593988
train,1,82,0.3752263150437255
train,1,83,0.3906222092054966
train,1,84,0.5219750034692422
train,1,85,0.3641268455358379
train,1,86,0.41997794669482574
train,1,87,0.46389600177659074
train,1,88,0.29583847119554524
train,1,89,0.33275462323316785
train,1,90,0.4321551071936893
train,1,91,0.33558547415392914
train,1,92,0.306034927895196
train,1,93,0.5436320876852849
train,1,94,0.5644932056552769
train,1,95,0.499357444387557
train,1,96,0.301762767229829
train,1,97,0.3251934922066221
train,1,98,0.3161835763397937
train,1,99,0.29235196429446375
train,1,100,0.3317577579668788
train,1,101,0.3147763252772285
train,1,102,0.32494707947921486
train,1,103,0.4335699362959012
train,1,104,0.39510263906940557
train,1,105,0.2960734833099332
train,1,106,0.3740260751440012
train,1,107,0.2770374761270845
train,1,108,0.36078076572918594
train,1,109,0.3772805769438451
train,1,110,0.31792319118976253
train,1,111,0.3905497594825713
train,1,112,0.4102904076316767
train,1,113,0.39101604170465426
train,1,114,0.421581545566731
train,1,115,0.3807033576415145
train,1,116,0.29982707060946967
train,1,117,0.3380617537741265
train,1,118,0.375950109236879
train,1,119,0.33591096588830605
train,1,120,0.3709249382645615
train,1,121,0.28593161794210586
train,1,122,0.31867693101024247
train,1,123,0.36060978100804897
train,1,124,0.31016099227294747
train,1,125,0.36441694800992996
train,1,126,0.28450069953510876
train,1,127,0.3525477195545526
train,1,128,0.3508875293186444
train,1,129,0.331327102321881
train,1,130,0.2912547310664027
train,1,131,0.3261566147148716
train,1,132,0.3417746462245258
train,1,133,0.40246772082845755
train,1,134,0.45993789538015806
train,1,135,0.45377393971438074
train,1,136,0.4118876894546315
train,1,137,0.452788465619704
train,1,138,0.3707275737592769
train,1,139,0.2762808847194045
train,1,140,0.35566016549840673
train,1,141,0.4695899891335866
train,1,142,0.44712217856100345
train,1,143,0.31735420628427696
train,1,144,0.3683705780136613
train,1,145,0.27075527561425294
train,1,146,0.28822041091271833
train,1,147,0.27875223633687807
train,1,148,0.30774261076052295
train,1,149,0.3950273962682248
train,1,150,0.2810018713737673
train,1,151,0.3899981239924462
train,1,152,0.3812393588798696
train,1,153,0.376900623132262
train,1,154,0.3058821312316363
train,1,155,0.28538594723307126
train,1,156,0.23154399871398162
train,1,157,0.27199836234390184
train,1,158,0.33093216737580267
train,1,159,0.3239946384498601
train,1,160,0.3825064892469028
train,1,161,0.4114665970870741
train,1,162,0.3476058304718254
train,1,163,0.36771650783057197
train,1,164,0.4100228568571731
train,1,165,0.34191139254366
train,2,1,0.33336489836616595
train,2,2,0.23100476318343394
train,2,3,0.3990714569343142
train,2,4,0.3673197413914393
train,2,5,0.4333719371594103
train,2,6,0.38763322821435076
train,2,7,0.41205403119683226
train,2,8,0.30518434317387066
train,2,9,0.30519022976344856
train,2,10,0.3863416575522639
train,2,11,0.32236624632267247
train,2,12,0.35739321354357895
train,2,13,0.32796885153069943
train,2,14,0.35296816257453223
train,2,15,0.3724095702088477
train,2,16,0.3399342274052076
train,2,17,0.27993863317047263
train,2,18,0.29209526462188673
train,2,19,0.29436692998628117
train,2,20,0.43026549261131297
train,2,21,0.23623165491024964
train,2,22,0.34521789703062855
train,2,23,0.39614023106184837
train,2,24,0.2686548354808832
train,2,25,0.3018025338406354
train,2,26,0.33580576601412865
train,2,27,0.31372064977156566
train,2,28,0.32264559392609804
train,2,29,0.3532010786636189
train,2,30,0.3252662492670135
train,2,31,0.36171953266490664
train,2,32,0.34928798846169606
train,2,33,0.28276955622603944
train,2,34,0.3114402780011958
train,2,35,0.2768497682149679
train,2,36,0.3495152715283518
train,2,37,0.3010774500636136
train,2,38,0.2670141127256918
train,2,39,0.3651374786367063
train,2,40,0.477419029325529
train,2,41,0.24679730759000942
train,2,42,0.3397722916522748
train,2,43,0.2822895475736774
train,2,44,0.3415963266274943
train,2,45,0.3117167526500082
train,2,46,0.32803457014290405
train,2,47,0.338064757378188
train,2,48,0.2680979513365028
train,2,49,0.40742996383584906
train,2,50,0.33037435427329687
train,2,51,0.3334030710443392
train,2,52,0.3313722208346061
train,2,53,0.24608492920072234
train,2,54,0.41256224114285867
train,2,55,0.41052238597565405
train,2,56,0.27885769534457927
train,2,57,0.28741478006167753
train,2,58,0.38145151851290193
train,2,59,0.31459568414570893
train,2,60,0.33736190056986326
train,2,61,0.3927021277426411
train,2,62,0.42977429600134864
train,2,63,0.4156059294989377
train,2,64,0.44391826426643344
train,2,65,0.33317661121304754
train,2,66,0.3313127407527715
train,2,67,0.3060249518478416
train,2,68,0.3755745723136419
train,2,69,0.40046162773062466
train,2,70,0.38493874253572813
train,2,71,0.3023170338320444
train,2,72,0.33436379214084344
train,2,73,0.3217433161089669
train,2,74,0.2387724703255547
train,2,75,0.29129993134440596
train,2,76,0.4240925967304935
train,2,77,0.39066254191783
train,2,78,0.367671282236687
train,2,79,0.4152008649524125
train,2,80,0.2765703431624943
train,2,81,0.39188257337017096
train,2,82,0.3497387795656981
train,2,83,0.3454677823106777
train,2,84,0.27989369308374107
train,2,85,0.2630014513236154
train,2,86,0.2854776150823142
train,2,87,0.31314256578072075
train,2,88,0.29861589529919613
train,2,89,0.3412106420817251
train,2,90,0.34989269498291453
train,2,91,0.2596693016950234
train,2,92,0.3513822516260411
train,2,93,0.34650149068723524
train,2,94,0.4156313507865001
train,2,95,0.3973008654940251
train,2,96,0.3125570234832532
train,2,97,0.29284140039373935
train,2,98,0.28090835568105815
train,2,99,0.33698970906909603
train,2,100,0.338907581289755
train,2,101,0.4066135146645724
train,2,102,0.263300297363239
train,2,103,0.28583311006448364
train,2,104,0.4377500165701893
train,2,105,0.43536515717431334
train,2,106,0.30003661964882117
train,2,107,0.35205362405944046
train,2,108,0.3241106786003648
train,2,109,0.3206847657938885
train,2,110,0.2854889813670165
train,2,111,0.3457705785885252
train,2,112,0.45954506431807063
train,2,113,0.29045521681121067
train,2,114,0.43073818449043944
train,2,115,0.29645315519623583
train,2,116,0.3810879339482943
train,2,117,0.3351554739201604
train,2,118,0.31471370150821876
train,2,119,0.34203751338333194
train,2,120,0.26633219364417543
train,2,121,0.3087135008548712
train,2,122,0.3630253400924869
train,2,123,0.34280845685994893
train,2,124,0.3062462723565298
train,2,125,0.45849932623105155
train,2,126,0.32803059006456226
train,2,127,0.36401274895049834
train,2,128,0.2566098283499246
train,2,129,0.3986426809623467
train,2,130,0.3580756503012048
train,2,131,0.4132376214059339
train,2,132,0.3796816619725726
train,2,133,0.36292832214146353
train,2,134,0.33542122076651687
train,2,135,0.28045474333193565
train,2,136,0.3011376916503916
train,2,137,0.3775191218077303
train,2,138,0.28823804627084776
train,2,139,0.369379936847096
train,2,140,0.2583313949584185
train,2,141,0.36965211380793916
train,2,142,0.4012884154856689
train,2,143,0.3709144997809305
train,2,144,0.3096268702231209
train,2,145,0.3904604018596919
train,2,146,0.3307244705088026
train,2,147,0.47214589177829425
train,2,148,0.3190526747619676
train,2,149,0.3405753208504941
train,2,150,0.3580099497339748
train,2,151,0.3377516728500831
train,2,152,0.30863865612641583
train,2,153,0.3370190838181204
train,2,154,0.3671861638601363
train,2,155,0.3598821516923001
train,2,156,0.2801846767291991
train,2,157,0.39573149883567604
train,2,158,0.35662185968584525
train,2,159,0.34057950925748715
train,2,160,0.3420318325851246
train,2,161,0.40930774742127357
train,2,162,0.4055716853839447
train,2,163,0.3304373254011906
